title_id	xbe_md5	title_name
43430001	B339120BC4786A0689052D0CED674996	Genma Onimusha
43430001	F51F90705E15CF1D43AD8C4C258259E5	Genma Onimusha
454D0004	256AF1DA261EB0F255252D2472E6BCF8	Ghost Master: The Gravenville Chronicles
4143001A	A2D3BFBAF3A0E35D0DD549E15C7528F6	Gladiator: Schwert der Rache
4143001A	58E4ABF15EAC21CAC714BEA871C8F512	Gladiator: Sword of Vengeance
4143001A	889E7C3FDB49801F2AD71A138432D4BE	Gladiator: Sword of Vengeance
4143001A	BDC15569EF180C868C79226D6AC8DA47	Gladiator: Sword of Vengeance
4C410008	3D2761BEC7D5450DB7DCAA98F50244FD	Gladius
4C410008	90F368A866F96D018142CEDC3E05C3E1	Gladius
4C410008	958063FD1B6A2B6B059F5D07462BEB02	Gladius
4C410008	9A22EA0983E2B3C01A9D219E76DC68FE	Gladius
4A410005	1D9DACDE012E3708D384244022610D88	Goblin Commander: Unleash the Horde
4A410005	53BEAA3F3E27BC26C3FC711FD5706D34	Goblin Commander: Unleash the Horde
49470039	6E9E286D9E4CFC73568C8A1E9B64CA68	Godzilla: Destroy All Monsters Melee
49470073	0801E3E6B4108739188B6EF011855A40	Godzilla: Save the Earth
4541005D	C6CD6DC70BCC612D75E0278D0BFDC9C7	GoldenEye: Agente Corrupto
4541005D	5EB97A0FD03FDC06821A9E78CEA95010	GoldenEye: Au Service du Mal
4541005D	003AF527E4FC63A745E32913509E9FA0	GoldenEye: Rogue Agent
4541005D	453FF5469AA3100147376DFAF18CB011	GoldenEye: Rogue Agent
4541005D	E9C8DB16DDDBCBF5A5B4AE5598E2D199	GoldenEye: Rogue Agent
5454007E	640D7B9C4193A4C0067CDFE3E408A8D5	Gotcha!
4D530053	9D9135CF7F376C0DA48E58BD4C628536	Grabbed by the Ghoulies
4D530053	DA54EDA746F3808FD3CD94CB221230F1	Grabbed by the Ghoulies
4D530053	E881BED60F89E6B4962D980614E694C4	Grabbed by the Ghoulies
5454000E	483B88C601F37BB9516B86744A650963	Grand Theft Auto III
5454000E	5BE4648D0ED1B0A9719A81129F1D5B8E	Grand Theft Auto III
5454000E	8876D8739AD5F7F8B8D8F4FA919E6EBE	Grand Theft Auto III
5454000E	9022E56AB6BDA49446C96DA0D4EA6C27	Grand Theft Auto III
5454000E	E75F0F98F10F0DEC3E662A2F2F7EF826	Grand Theft Auto III
545400A5	07EF38DE11752BD48FD71DD77BA9C671	Grand Theft Auto: San Andreas
545400A4	154FA474236DFB10BE3995694B68D58B	Grand Theft Auto: San Andreas
545400A3	30680BC065197E3D4E257A7FCDA4A079	Grand Theft Auto: San Andreas
54540082	7AF26DE15B8179FECB37B078690A84ED	Grand Theft Auto: San Andreas
54540095	9C736D0562FDBE2FECECEFC55FBB6D6E	Grand Theft Auto: San Andreas
54540086	C68FAD17D1EDE6F824B4379271441ADC	Grand Theft Auto: San Andreas
5454000F	0A00C2D20AB85758DE3DB63E39D9AC1E	Grand Theft Auto: Vice City
5454000F	0F6062F6B068396C2BF2DC94A7805639	Grand Theft Auto: Vice City
54540073	11D08956767A5E465576282DF55E2C52	Grand Theft Auto: Vice City
5454000F	996C29A41EB99C7877565110BC635E9B	Grand Theft Auto: Vice City
